---------, 1, 0, 0, 0, 0, 0, 0, 0, 0
--X-O----, 0.10942708333333334, 0.10942708333333334, -1.0, 0.10942708333333334, -1.0, 0.10942708333333334, 0.10942708333333334, 0.10942708333333334, 0.1134375
--X-OO--X, 0.10828125, 0.10828125, -1.0, 0.116875, -1.0, -1.0, 0.10828125, 0.10828125, -1.0
--XXOO-OX, 0.103125, 0.12375, -1.0, -1.0, -1.0, -1.0, 0.103125, -1.0, -1.0
-XXXOOOOX, 0.1375, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0
------XO-, 0.10056222842615328, 0.10056222842615328, 0.12519576104702773, 0.13413936418331698, 0.10841596106504217, 0.10056222842615328, -1.0, -1.0, 0.10056222842615328
--X--OXO-, 0.103125, 0.103125, -1.0, 0.103125, 0.1375, -1.0, -1.0, -1.0, 0.103125
-O----X--, 0.11521897492585359, -1.0, 0.1111250079119647, 0.1111250079119647, 0.11519765218098958, 0.1111250079119647, -1.0, 0.1111250079119647, 0.09508334124529803
-O----XOX, 0.116875, -1.0, 0.116875, 0.116875, 0.0825, 0.116875, -1.0, -1.0, -1.0
-OO-X-XOX, 0.1375, -1.0, -1.0, 0.1375, -1.0, 0.055, -1.0, -1.0, -1.0
---O-X---, 0.11229166666666666, 0.11229166666666666, 0.11229166666666666, -1.0, 0.09625, -1.0, 0.11229166666666666, 0.11229166666666666, 0.11229166666666666
-O-OXX---, 0.116875, -1.0, 0.116875, -1.0, -1.0, -1.0, 0.116875, 0.116875, 0.0825
OO-OXX--X, -1.0, -1.0, 0.1375, -1.0, -1.0, -1.0, 0.1375, 0.055, -1.0
XO-------, -1.0, -1.0, 0, 0, 0, 0, 1, 0, 0
XO---OX--, -1.0, -1.0, 0, 1, 0, -1.0, -1.0, 0, 0
X--O-----, -1.0, 1, 0, -1.0, 0, 0, 0, 0, 0
XXOO-----, -1.0, -1.0, -1.0, -1.0, 1, 0, 0, 0, 0
XXOOXO---, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0, 1, 0
